topicid,pid,relevent_score
CD009323,14525571,1
CD009323,9731805,1
CD009323,10064755,1
CD009323,14627530,1
CD009323,8548258,1
CD009323,16332484,1
CD009323,19396496,1
CD009323,12496532,1
CD009323,7627522,1
CD009323,9449598,1
CD009323,19228509,1
CD009323,6225692,1
CD009323,12239959,1
CD009323,10332773,1
CD009323,10218451,1
CD009323,9778683,1
CD009323,11554136,1
CD009323,9443991,1
CD009323,9174869,1
CD009323,9860470,1
CD009323,17177081,1
CD009323,160506,1
CD009323,6285032,1
CD009323,2936262,1
CD009323,9408328,1
CD009323,9083152,1
CD009323,9411199,1
CD009323,15249711,1
CD009323,14691701,1
CD009323,9834353,1
CD009323,9101933,1
CD009323,150363,1
CD009323,9574186,1
CD009323,9202539,1
CD009323,18333150,1
CD009323,6211640,1
CD009323,15537378,1
CD009323,11079134,1
CD009323,6447290,1
CD009323,15747029,1
CD009323,6018857,1
CD009323,4261319,1
CD009323,2964382,1
CD009323,17347637,1
CD009323,17004868,1
CD009323,1425460,1
CD009323,10433050,1
CD009323,8963831,1
CD009323,12048629,1
CD009323,10596328,1
CD009323,12517569,1
CD009323,8453927,1
CD009323,9353438,1
CD009323,6088216,1
CD009323,16434983,1
CD009323,14345504,1
CD009323,9005337,1
CD009323,15256241,1
CD009323,15702520,1
CD009323,18308214,1
CD009323,10449813,1
CD009323,8298929,1
CD009323,7970057,1
CD009323,11727085,1
CD009323,9805796,1
CD009323,16286705,1
CD009323,8597506,1
CD009323,12620915,1
CD009323,2527321,1
CD009323,18333240,1
CD009323,12374655,1
CD009323,18470572,1
CD009323,17175453,1
CD009323,7541927,1
CD009323,18781364,1
CD009323,18980025,1
CD009323,7954982,1
CD009323,8938906,1
CD009323,7992414,1
CD009323,15827795,1
CD009323,1425457,1
CD009323,9496872,1
CD009323,9183872,1
CD009323,9752518,1
CD009323,6240834,1
CD009323,7954981,1
CD009323,16720306,1
CD009323,16113592,1
CD009323,9712562,1
CD009323,9499186,1
CD009323,10982586,1
CD009323,14579851,1
CD009323,9632157,1
CD009323,15702521,1
CD009323,10202066,1
CD009323,6226821,1
CD009323,10776880,1
CD009323,8526444,1
CD009323,10549734,1
CD009323,8994980,1
CD009323,18498873,1
CD009323,10526028,1
CD009323,4276971,1
CD009323,7943593,1
CD009323,8780930,1
CD009323,10427654,1
CD009323,11820412,1
CD009323,15624058,1
CD009323,10389860,1
CD009323,11488793,1
CD009323,10768705,1
CD009323,6097055,1
CD009323,2154172,1
CD009323,15365229,1
CD009323,15305088,1
CD009323,14525563,1
CD009323,10512938,1
CD009323,9781001,1
CD009323,16125619,1
CD009323,11260096,1
CD009323,11753036,1
CD009323,9208958,1
