topicid,pid,relevent_score
CD009323,7831611,0
CD009323,18082719,0
CD009323,9527057,0
CD009323,7501210,0
CD009323,20554299,0
CD009323,12239646,0
CD009323,14525571,1
CD009323,9538925,0
CD009323,22874684,0
CD009323,19361290,0
CD009323,17659174,0
CD009323,22874688,0
CD009323,21114814,0
CD009323,8640625,0
CD009323,11832156,0
CD009323,11446073,0
CD009323,8351598,0
CD009323,12576808,0
CD009323,14768653,0
CD009323,19888953,0
CD009323,13934370,0
CD009323,22143419,0
CD009323,21492337,0
CD009323,15252389,0
CD009323,19844652,0
CD009323,16933163,0
CD009323,21191591,0
CD009323,9731805,1
CD009323,8697345,0
CD009323,12232482,0
CD009323,17355626,0
CD009323,10615786,0
CD009323,16311852,0
CD009323,10615782,0
CD009323,17139439,0
CD009323,22549374,0
CD009323,1285222,0
CD009323,19626382,0
CD009323,19806301,0
CD009323,19806300,0
CD009323,17149553,0
CD009323,17445640,0
CD009323,15957452,0
CD009323,10918161,0
CD009323,15307493,0
CD009323,17324329,0
CD009323,20017435,0
CD009323,8152552,0
CD009323,7482208,0
CD009323,11224667,0
CD009323,19213374,0
CD009323,17031743,0
CD009323,16754123,0
CD009323,19169744,0
CD009323,7653977,0
CD009323,8342340,0
CD009323,22043153,0
CD009323,10434447,0
CD009323,20938182,0
CD009323,11319439,0
CD009323,8153861,0
CD009323,9424890,0
CD009323,7988060,0
CD009323,11132540,0
CD009323,12898173,0
CD009323,19365334,0
CD009323,21656066,0
CD009323,10064755,1
CD009323,17415347,0
CD009323,19266232,0
CD009323,21611948,0
CD009323,1534464,0
CD009323,21103287,0
CD009323,22750834,0
CD009323,8845990,0
CD009323,18554837,0
CD009323,15498319,0
CD009323,21284517,0
CD009323,10233490,0
CD009323,4263031,0
CD009323,22825652,0
CD009323,22540109,0
CD009323,11588768,0
CD009323,15105650,0
CD009323,21216420,0
CD009323,16608016,0
CD009323,19482295,0
CD009323,22842744,0
CD009323,8948036,0
CD009323,7956535,0
CD009323,22842742,0
CD009323,1627444,0
CD009323,17705718,0
CD009323,9128996,0
CD009323,6239762,0
CD009323,16882431,0
CD009323,21412118,0
CD009323,12666406,0
CD009323,16858526,0
CD009323,20678970,0
CD009323,12370662,0
CD009323,15553428,0
CD009323,19099174,0
CD009323,9034442,0
CD009323,8865450,0
CD009323,15127274,0
CD009323,11596897,0
CD009323,22776310,0
CD009323,19576378,0
CD009323,11692932,0
CD009323,22196669,0
CD009323,22797962,0
CD009323,14627530,1
CD009323,11150469,0
CD009323,11044173,0
CD009323,19957228,0
CD009323,19573681,0
CD009323,15943988,0
CD009323,17143959,0
CD009323,16773261,0
CD009323,12607785,0
CD009323,2148443,0
CD009323,8506963,0
CD009323,17724807,0
CD009323,19760934,0
CD009323,9577041,0
CD009323,17004190,0
CD009323,17407953,0
CD009323,9072059,0
CD009323,11443478,0
CD009323,21088840,0
CD009323,8269246,0
CD009323,18287976,0
CD009323,10710884,0
CD009323,10410473,0
CD009323,9180956,0
CD009323,19865792,0
CD009323,1534048,0
CD009323,11220911,0
CD009323,21944615,0
CD009323,7754633,0
CD009323,21944610,0
CD009323,22776226,0
CD009323,20032934,0
CD009323,12623362,0
CD009323,18265901,0
CD009323,18321433,0
CD009323,10961744,0
CD009323,22391347,0
CD009323,16479113,0
CD009323,15956903,0
CD009323,21046159,0
CD009323,10695743,0
CD009323,22752284,0
CD009323,18535766,0
CD009323,14722855,0
CD009323,21991871,0
CD009323,21991870,0
CD009323,20422894,0
CD009323,9767969,0
CD009323,16150332,0
CD009323,1466626,0
CD009323,8975982,0
CD009323,18090983,0
CD009323,9171117,0
CD009323,20469697,0
CD009323,22237756,0
CD009323,10436714,0
CD009323,22421760,0
CD009323,8831551,0
CD009323,16043114,0
CD009323,8548258,1
CD009323,1339727,0
CD009323,15757151,0
CD009323,17906909,0
CD009323,17964753,0
CD009323,9244986,0
CD009323,16332484,1
CD009323,8658220,0
CD009323,8808554,0
CD009323,17548254,0
CD009323,10436633,0
CD009323,21683007,0
CD009323,20037415,0
CD009323,19396496,1
CD009323,12768903,0
CD009323,7827895,0
CD009323,19685261,0
CD009323,10419724,0
CD009323,17004867,0
CD009323,12130871,0
CD009323,17479321,0
CD009323,11720144,0
CD009323,12496532,1
CD009323,21902969,0
CD009323,16219210,0
CD009323,7627522,1
CD009323,12893196,0
CD009323,6232129,0
CD009323,2933864,0
CD009323,12205557,0
CD009323,10372495,0
CD009323,14592669,0
CD009323,1364212,0
CD009323,10690591,0
CD009323,19960599,0
CD009323,21318953,0
CD009323,1837182,0
CD009323,5613055,0
CD009323,16734183,0
CD009323,19609621,0
CD009323,16333393,0
CD009323,8214974,0
CD009323,12618946,0
CD009323,10858477,0
CD009323,7825319,0
CD009323,2953291,0
CD009323,1362118,0
CD009323,10030860,0
CD009323,12719870,0
CD009323,12715729,0
CD009323,8550698,0
CD009323,18699754,0
CD009323,4261149,0
CD009323,16511580,0
CD009323,20011483,0
CD009323,22542065,0
CD009323,9449598,1
CD009323,19717045,0
CD009323,19392847,0
CD009323,11591942,0
CD009323,15261753,0
CD009323,8473173,0
CD009323,19228509,1
CD009323,16490550,0
CD009323,17552418,0
CD009323,10417572,0
CD009323,17936974,0
CD009323,19228508,0
CD009323,17111849,0
CD009323,17410453,0
CD009323,18810544,0
CD009323,15730941,0
CD009323,21184103,0
CD009323,20177912,0
CD009323,9918609,0
CD009323,21271344,0
CD009323,10398903,0
CD009323,21909859,0
CD009323,18939459,0
CD009323,18393150,0
CD009323,6225692,1
CD009323,10436810,0
CD009323,21909852,0
CD009323,20352368,0
CD009323,18237517,0
CD009323,16260204,0
CD009323,20042126,0
CD009323,16019768,0
CD009323,1340842,0
CD009323,15494281,0
CD009323,17031198,0
CD009323,9377518,0
CD009323,22903253,0
CD009323,16709370,0
CD009323,1557348,0
CD009323,17658161,0
CD009323,7855984,0
CD009323,18322745,0
CD009323,12946773,0
CD009323,18322747,0
CD009323,17980876,0
CD009323,19184198,0
CD009323,1361245,0
CD009323,21984205,0
CD009323,10982593,0
CD009323,19692887,0
CD009323,20632189,0
CD009323,17212890,0
CD009323,16109538,0
CD009323,12239959,1
CD009323,19789833,0
CD009323,10661630,0
CD009323,1468390,0
CD009323,18087185,0
CD009323,21938582,0
CD009323,17299659,0
CD009323,16315901,0
CD009323,20376491,0
CD009323,6328638,0
CD009323,15104361,0
CD009323,21197435,0
CD009323,17704891,0
CD009323,19762047,0
CD009323,11548798,0
CD009323,8774657,0
CD009323,16802577,0
CD009323,14131715,0
CD009323,22362246,0
CD009323,17570778,0
CD009323,12127118,0
CD009323,11549077,0
CD009323,17570772,0
CD009323,17570770,0
CD009323,8751222,0
CD009323,8781934,0
CD009323,22884964,0
CD009323,15960198,0
CD009323,11247062,0
CD009323,15902050,0
CD009323,16355853,0
CD009323,11759881,0
CD009323,22379466,0
CD009323,9638418,0
CD009323,11060376,0
CD009323,11925124,0
CD009323,22852007,0
CD009323,7639238,0
CD009323,20628856,0
CD009323,19466494,0
CD009323,9360890,0
CD009323,21488201,0
CD009323,152060,0
CD009323,15943723,0
CD009323,21533971,0
CD009323,19433178,0
CD009323,17066269,0
CD009323,1826993,0
CD009323,9801116,0
CD009323,17907989,0
CD009323,22693965,0
CD009323,9225893,0
CD009323,22677583,0
CD009323,17907984,0
CD009323,8044368,0
CD009323,673736,0
CD009323,18333170,0
CD009323,13976033,0
CD009323,21689228,0
CD009323,8043924,0
CD009323,16502196,0
CD009323,7914773,0
CD009323,19882099,0
CD009323,15696536,0
CD009323,11999948,0
CD009323,2944194,0
CD009323,8554138,0
CD009323,1386227,0
CD009323,11452824,0
CD009323,15368117,0
CD009323,19365321,0
CD009323,19597822,0
CD009323,9752472,0
CD009323,1983540,0
CD009323,20184064,0
CD009323,14513320,0
CD009323,7652693,0
CD009323,22868357,0
CD009323,1299664,0
CD009323,9479951,0
CD009323,22205456,0
CD009323,20027808,0
CD009323,12484091,0
CD009323,10332773,1
CD009323,21938560,0
CD009323,17278208,0
CD009323,22792532,0
CD009323,18274843,0
CD009323,20602140,0
CD009323,15211968,0
CD009323,21484306,0
CD009323,8775250,0
CD009323,12518263,0
CD009323,8581816,0
CD009323,15831223,0
CD009323,11044507,0
CD009323,19937975,0
CD009323,20518689,0
CD009323,20809818,0
CD009323,15164435,0
CD009323,15768454,0
CD009323,20809812,0
CD009323,20480252,0
CD009323,17593462,0
CD009323,7642243,0
CD009323,12113419,0
CD009323,22047403,0
CD009323,9587537,0
CD009323,22776306,0
CD009323,22776305,0
CD009323,15239221,0
CD009323,20443348,0
CD009323,9776450,0
CD009323,21358311,0
CD009323,15957463,0
CD009323,11986021,0
CD009323,9153182,0
CD009323,22964716,0
CD009323,22678942,0
CD009323,16627229,0
CD009323,9756022,0
CD009323,22196672,0
CD009323,20076819,0
CD009323,15931487,0
CD009323,9334120,0
CD009323,21228666,0
CD009323,16698590,0
CD009323,18459493,0
CD009323,15553700,0
CD009323,15476648,0
CD009323,10218451,1
CD009323,9383346,0
CD009323,135195,0
CD009323,22563281,0
CD009323,18332919,0
CD009323,10664286,0
CD009323,7859681,0
CD009323,15783014,0
CD009323,19609826,0
CD009323,20568346,0
CD009323,15783012,0
CD009323,22157511,0
CD009323,21242448,0
CD009323,7808798,0
CD009323,16544067,0
CD009323,8308808,0
CD009323,17893501,0
CD009323,22179451,0
CD009323,20049337,0
CD009323,11777137,0
CD009323,22179458,0
CD009323,9773005,0
CD009323,11147907,0
CD009323,12955450,0
CD009323,8604908,0
CD009323,9778683,1
CD009323,19499656,0
CD009323,19317933,0
CD009323,11865374,0
CD009323,16110256,0
CD009323,10961758,0
