pid,score
22482831,20.963678
20209597,19.902626
18766254,19.754585
1222712,19.701408
21705350,18.401432
19719819,18.19349
19819728,17.72307
23205847,17.661932
22225856,17.657774
16884987,17.535362
21492909,17.366348
22017416,17.307232
20087172,16.98703
20705332,16.890606
20345422,16.697403
17413761,16.498806
19696040,16.481798
23128358,16.315958
21691196,16.050804
19235055,15.795656
20229682,15.795656
20840338,15.714168
22713683,15.286115
18579398,15.238812
19995349,15.110172
22874740,15.093928
20884636,15.087821
19590321,15.066103
15784122,14.96726
21352237,14.744251
19405329,14.579211
22204772,14.579211
16420574,14.460447
18070065,14.299257
19170989,14.297592
20978996,14.274961
18581079,14.14027
22211833,13.890726
21535979,13.887005
19224779,13.828416
22519961,13.614824
20140242,13.553204
22113102,13.040205
19681851,13.0202265
21453421,12.951206
19860752,12.88986
21610182,12.88986
21412912,12.886884
23301972,12.847506
18440953,12.739596
22995455,12.621403
21942848,12.592395
22743377,12.432794
22467887,12.229602
19691584,12.192762
21883380,11.81302
21152676,11.719902
22719014,11.65351
22846944,11.531717
22328635,11.405482
21315618,11.019473
15922540,10.977373
20922353,10.780024
21183368,10.711508
21251146,10.707289
19747838,10.634668
21565974,10.560211
21961488,10.560211
17097350,10.555497
18376174,10.54744
21574963,10.499384
23041210,10.49249
22868797,10.4639
16181213,10.429316
18823464,10.374174
22633532,10.305159
18339213,10.2796
18707921,10.252552
18388501,10.162918
21323795,10.153848
19002044,10.150122
21150521,10.116839
22086509,10.113317
21223296,10.075014
19331653,10.050812
17516038,10.018275
21822125,9.981885
19132237,9.981885
23407150,9.962379
1151154,9.938231
19372316,9.929731
14617309,9.929094
17102650,9.906747
22724625,9.906747
22176523,9.906747
11703860,9.892938
23278445,9.881155
23118068,9.881155
21382181,9.856684
21729518,9.828689
1011478,9.8098545
22314689,9.755579
19021004,9.732354
20185519,9.732354
10648317,9.712026
16873390,9.709322
23112213,9.653761
20076842,9.56018
22498982,9.56018
23053307,9.56018
22791802,9.548617
17398108,9.531414
16953295,9.499483
17097417,9.49346
23362779,9.4578085
22576961,9.43211
23302040,9.43211
21835606,9.381174
15870552,9.381174
20035517,9.332144
11791764,9.305576
18158312,9.301917
3700355,9.280659
20454754,9.212666
17109736,9.110509
20877262,9.0965395
18922419,9.0965395
20807172,9.0965395
20431856,9.0965395
15493051,9.055918
23159521,9.037035
22958005,9.003641
22092122,8.977581
17179819,8.959243
3739331,8.944533
11515616,8.936503
16498193,8.895356
17680178,8.868607
18205897,8.824453
18292409,8.778948
19459866,8.778948
21737102,8.728449
18922422,8.619076
21543036,8.619076
22696065,8.619076
21483397,8.619076
7730835,8.5932665
12919424,8.578352
2901880,8.562874
18420845,8.544522
19350122,8.544522
20529981,8.539615
21370413,8.4579315
21755833,8.4579315
23258612,8.4579315
22926249,8.445928
17127479,8.4438925
16799348,8.439374
21756263,8.355451
19657320,8.355451
7355459,8.311228
3596794,8.289077
1477749,8.289077
11124689,8.277662
9322464,8.277662
20624109,8.265936
17945536,8.264971
21765358,8.250608
17102653,8.244656
11544618,8.18119
17581317,8.132753
22270921,8.057579
22310191,8.057579
23301969,8.03657
19241825,8.011841
20024491,7.989435
17704742,7.9841166
21918164,7.9563026
23354242,7.8972187
22104068,7.876724
996921,7.8521204
16395725,7.8521204
2773029,7.8521204
20528259,7.8361363
19224778,7.8341484
20017439,7.8133454
7072194,7.7749434
2385125,7.7749434
12576335,7.760618
19656278,7.7551403
19166709,7.7055254
9560544,7.7055254
17010048,7.701856
6613270,7.673275
16117453,7.673275
21427234,7.6357045
7336674,7.596762
6981035,7.596762
2351341,7.596762
8149040,7.596762
18633014,7.576023
9263112,7.56249
11515614,7.56249
8985070,7.56249
19406552,7.5457177
21933302,7.5457177
17381628,7.545555
19077136,7.4900775
12126199,7.478543
21474661,7.478543
11452162,7.4260445
2597614,7.4182825
3679528,7.4182825
638058,7.4182825
21091865,7.414423
16953288,7.414423
2463006,7.39082
1725638,7.39082
432930,7.39082
3516980,7.39082
20581663,7.385256
15880369,7.359026
1703832,7.3587036
9480119,7.3587036
2298715,7.3390803
8904330,7.3338013
16428520,7.2682405
22776724,7.2682405
1725614,7.2618933
9852409,7.2069683
21681082,7.136076
12761010,7.0843987
3247983,7.0710483
558156,7.0710483
1725651,6.9524226
2431970,6.9524226
3172700,6.9491525
21560095,6.925761
119399,6.8819637
1725652,6.8819637
566507,6.8819637
7065387,6.8819637
21913899,6.881548
19775458,6.881548
9651146,6.8565955
20693180,6.844552
19143701,6.843236
18338137,6.843236
17430330,6.843236
16581348,6.8344703
22364525,6.8025975
4075737,6.7660694
10421115,6.7660694
2308991,6.7660694
7676776,6.7501135
3495194,6.7501135
6840829,6.7501135
19491662,6.741979
18502361,6.741979
20548824,6.741949
20374650,6.730036
15752404,6.730036
21989733,6.730036
6803690,6.720934
842497,6.720934
7466909,6.720934
1725630,6.720934
7378313,6.720934
10928437,6.7158546
7818319,6.697102
1695166,6.697102
66780,6.697102
850933,6.697102
