pid,score
12093777,389.505
19026294,378.0806
18271835,370.8883
17520568,367.69354
2300998,357.32977
15241739,357.01758
20690090,356.74808
11315400,351.45557
15848702,344.1602
18621374,343.51978
2667345,340.51703
19939822,340.20862
15743997,339.79706
19369689,338.4514
15213315,333.5577
8932262,328.94293
20470277,325.8015
11127308,321.16602
20648438,319.49768
9648086,319.1627
19401123,317.41678
17550928,315.82886
11052267,315.5775
20649758,313.99518
17826390,313.8482
9575401,312.92474
12538744,309.2744
15462104,307.3228
18580056,307.29462
14697941,306.1666
16030034,303.59695
7900665,303.3446
19833903,302.02698
15374805,301.19763
1837116,301.13608
2353652,301.0509
17699396,300.99197
19781704,300.50244
18403432,300.21466
14636911,300.09607
11390720,297.37323
15761631,297.02182
18589097,296.84326
8572857,296.68015
19059594,296.61954
2029013,296.38016
16969750,295.18115
15051932,295.11682
19040561,293.85175
16777558,293.68405
15799174,293.35086
10147633,292.04047
12324908,291.7287
12481147,291.10748
19308650,289.73236
17136027,289.23822
11978689,288.23676
20436705,288.12164
15031345,287.89334
19194569,287.8071
18046083,287.77313
8915964,286.9735
19783341,286.53488
17102544,286.3004
12151856,285.33554
12195401,285.3062
20603087,285.01913
17389785,282.9901
15577064,282.4763
12913060,282.41702
20586902,282.192
19886337,280.43958
16340725,280.2474
16014069,279.6249
2315467,279.1702
10352196,278.74023
16647461,277.87137
19853704,277.24515
14993503,275.69427
20200622,275.65485
2014921,274.8206
14750097,274.57343
17346915,274.56848
16821026,272.97495
9431840,271.8695
9198049,271.75436
12382405,270.81583
11725913,270.48547
18638584,270.11047
18984450,269.7771
12617333,269.6906
18550064,268.89166
14669861,268.84528
12641882,268.53552
17172251,268.1333
18818684,268.02167
11777319,267.91122
15943627,267.61102
6351648,267.52588
19268412,267.47485
17003570,266.8065
20970625,266.66284
17048205,266.2612
16636584,265.77515
20633852,265.71127
17048206,265.70248
20522535,265.60797
19712254,265.60733
20428622,265.6014
6965831,265.32297
19387250,264.7959
12945083,264.74612
16539621,264.56995
17825738,264.2128
2226509,263.59735
15365955,262.87958
11683822,261.99823
16105059,261.69052
19765448,260.9652
19852148,260.88135
17471002,260.57648
12860215,260.27997
16408115,259.67923
16080976,259.18768
16413522,258.98038
9596081,258.8224
9141000,258.34607
16361811,258.27762
15013330,257.81436
12358138,257.38043
7955310,256.07175
11111956,255.95157
18585801,255.76486
18513419,255.74417
10816185,255.63123
18978067,255.57611
1357450,255.50195
19538490,255.3372
19670713,255.29185
19580724,254.91602
7579064,254.5681
8657415,254.15189
343680,253.90076
16534221,253.70193
7986481,253.27776
9304313,253.07855
11136168,252.65132
8861439,251.9744
7047115,251.75923
20954975,251.73315
20299981,251.57779
19760091,251.1145
17417765,251.018
12446066,250.32257
19024194,250.30258
16911184,249.88028
12703884,249.69931
16350818,248.28639
14659847,248.11003
15627718,247.88719
8039226,247.6297
17925609,246.90298
15496174,246.62088
9158024,246.2788
10659582,246.24672
15985387,246.00548
19886334,245.95016
19920040,245.54114
16640517,245.25052
16923438,245.24472
20083074,245.20975
18854671,245.15826
9404246,243.55923
20090315,243.5137
