pid,score
18074751,48.920406
17120985,47.60989
19296552,47.348015
1946866,45.45686
15559753,41.785164
19578566,41.785164
1492780,39.585976
23172761,39.468586
22717233,38.092884
8208879,37.509857
20064817,37.38781
2594878,36.980957
16724448,36.980957
9526793,36.33346
7662322,35.318047
7824143,34.76499
15286455,30.84107
8677826,30.654724
18608052,30.158747
12958005,29.407774
10773648,29.227741
9283925,27.812653
18025825,27.391218
8829727,26.365688
19547946,25.944721
19327203,25.746252
23208022,25.57438
19823990,25.493212
9071438,25.414846
12767413,23.30632
11037106,23.231514
12548353,22.912731
9812113,22.879429
11560213,22.202057
3571790,20.61447
19202338,20.493483
10556865,19.928925
17191421,19.50177
22882809,19.336748
16421116,19.260357
21140955,18.939716
21856971,18.423418
19896583,18.123194
9180766,18.025494
18289452,18.025494
19407461,17.711718
8970013,17.134783
10737023,16.974886
22689701,16.809538
17946417,16.472195
12221476,16.36926
16977673,16.305922
8701446,16.277973
9472135,15.9157715
10921301,15.684774
20164591,15.674923
3294349,15.56814
22086219,14.883122
23268875,14.794881
17334275,14.713565
19323868,14.565304
19142405,14.320726
12571823,14.3105345
15687511,14.05563
19838514,13.965311
11591838,13.468948
17296602,13.341195
21131671,12.935282
10726292,12.442981
3241463,12.382166
8255833,12.190057
8503262,12.185427
1576226,12.015618
20158493,11.986162
20055769,11.603344
14963845,11.228437
6692189,11.228437
21113824,11.175776
19554672,11.161661
16734921,11.086174
16982570,11.005486
12464719,11.005486
8227899,10.991774
9884005,10.981844
19142410,10.981466
18314567,10.979097
16158009,10.972105
20808135,10.821999
20738811,10.750848
11268764,10.734531
23092715,10.395814
21071942,10.372749
19747425,10.37059
18285677,10.287111
12891638,10.250761
19814841,10.193573
12752846,10.178524
9143435,10.178524
21045491,10.160628
16252378,10.063925
15171906,9.787865
11460955,9.787865
10396468,9.787865
21915487,9.576698
12417367,9.305428
1539193,9.305428
2807680,9.305428
1885862,9.305428
12110070,9.268926
14512713,9.108837
8623028,9.108837
12611290,9.108837
16246261,9.103207
12810892,9.103207
11943052,9.103207
1631382,9.103207
16340916,9.072197
22014176,8.989086
10556864,8.977192
20416977,8.974345
11892968,8.885743
15211065,8.876125
15691286,8.834277
16255841,8.790295
15273881,8.661739
12751884,8.615789
21893322,8.406971
20102571,8.35932
22170358,8.217015
11921154,8.180618
3772624,8.151207
15668631,8.122532
9291882,8.122532
15567563,8.004249
20178996,8.00295
21834788,7.9506845
8080391,7.9470024
7100362,7.9470024
16670248,7.806053
8563660,7.746243
12420650,7.6879325
10867444,7.5901203
19632119,7.516593
19507163,7.2594213
3368071,7.214056
19101283,7.1436496
16108937,7.036996
21621310,6.792226
3619711,6.792226
7935963,6.772407
18474717,6.633682
9178050,6.633682
19891815,6.6191535
8090234,6.6191535
22121012,6.5467415
12741091,6.4640226
14618554,6.417737
9097213,6.404229
20665557,6.379337
18678573,6.3781857
21780182,6.3487144
2214305,6.328495
12810891,6.328495
14511157,6.310757
20455862,6.268938
9932934,6.1921635
20823087,6.1921635
17502007,6.048022
11060503,5.932897
19326698,5.8589444
23083384,5.8589444
18040903,5.8589444
19494491,5.8589444
16172733,5.5453944
18384589,5.326763
2651606,5.3074255
14646031,5.3074255
21212674,5.269641
8660155,5.233994
1776585,5.233994
9859120,5.233994
2642498,5.233994
19421962,5.1500955
19768699,5.1500955
14513165,5.1500955
19547806,5.129998
18839800,5.01197
18436874,5.01197
18097141,5.01197
16175157,5.01197
21903447,4.9422607
20537725,4.9422607
15137556,4.9422607
15026497,4.9422607
19020293,4.9422607
17173353,4.9422607
16428883,4.9422607
20733304,4.933927
8455053,4.933927
8618670,4.933927
19546654,4.933927
17215737,4.9328055
22421024,4.9328055
21491631,4.9328055
21059967,4.9328055
21399482,4.916815
14665510,4.916815
21626569,4.916815
16088138,4.916815
19864908,4.916815
15935385,4.915908
9063339,4.915485
17158334,4.853937
11563209,4.853937
16952914,4.853937
21414692,4.824208
8440847,4.68446
17519320,4.6598835
16640797,4.4959784
1607902,4.4769773
20629169,4.4769773
19960482,4.3160534
16117717,4.3160534
15459515,4.3160534
15147592,4.3160534
9050430,4.305865
20497240,4.2917953
12849924,4.2360573
17292021,4.2360573
11370580,4.090738
15660412,4.0748186
7629532,3.9980023
20799249,3.8574886
21908910,3.8574886
21970520,3.829968
15948064,3.6110985
16093227,3.6110985
12211118,3.601506
