pid,score
20370729,68.52597
9755399,67.25084
8799392,64.801315
15773837,62.517258
11080410,60.969753
8519241,60.140327
12921574,59.90943
25320515,59.286762
22978534,57.974236
22864063,57.53238
16440415,57.42005
8417483,56.992104
1463259,56.27754
17465457,56.21062
24783909,55.98366
14996154,55.84424
22659358,55.22128
21444080,54.797806
1795424,54.64277
19077499,53.55036
10855851,53.190422
2060901,52.63233
15229425,52.27305
23446466,51.851948
2038994,51.343506
10867453,50.555332
20021869,50.29435
22237654,50.162464
10919057,49.852467
24223855,49.841454
17048994,49.841187
16119315,49.647522
15520913,49.500793
16552963,49.012016
20617861,48.97426
11464493,48.923874
12397278,48.71422
19565050,48.608044
16446988,48.415558
8287809,48.18228
23052533,48.149437
16817044,47.47824
12532442,47.41066
21519368,47.027332
25283742,47.010937
21725509,46.625004
11809546,46.50518
9378206,46.405304
20074167,45.746407
15955787,45.69008
12352295,45.444138
8688702,45.395176
20652857,45.35771
17513817,45.29403
10449680,45.280483
8836713,45.06311
1633769,45.03746
7895567,45.007507
19799087,44.915634
10026321,44.755444
7940168,44.710182
10570337,44.585194
12063969,44.5203
17054580,44.451996
17357856,43.990883
15056091,43.94126
15239279,43.892975
9692582,43.88166
18937292,43.488068
9765088,43.372643
15243885,43.302666
19744632,43.277573
21824594,43.180317
9842541,43.008682
15784023,42.91584
3278405,42.662163
8658217,42.490784
7774792,42.28443
21140689,42.145638
20206104,42.13986
7625216,42.11171
12471541,41.76875
25000218,41.767174
18080789,41.717163
7582581,41.29097
19031933,41.283222
8491131,40.93596
22528672,40.924477
22098828,40.85199
8759666,40.788742
15894867,40.7784
14752188,40.762604
10586017,40.727463
23837259,40.492348
19077733,40.31684
23680707,40.006565
12960785,39.79384
9607290,39.746338
1920896,39.745148
18840132,39.705147
9360870,39.57792
9087207,39.056107
18337043,39.044968
8491133,39.00976
1511822,38.99044
17921945,38.94149
7582580,38.79888
7973591,38.76772
2040468,38.75112
17321235,38.679058
8658218,38.612278
8465547,38.59642
11778127,38.50329
3428238,38.499535
8365619,38.47882
